BASKET_NUM                      ,HSHD_NUM        ,PURCHASE_,PRODUCT_NUM                     ,     SPEND,     UNITS,STORE_R,  WEEK_NUM,YEAR
3685,3889,16-SEP-18,912428,1.99,1,SOUTH  ,37,2018
49054,779,22-SEP-19,4853832,1.0,1,CENTRAL,38,2019
2182,3411,02-SEP-18,5798805,1.29,1,SOUTH  ,35,2018
81730,3214,10-JUL-20,7308377,9.99,1,SOUTH  ,27,2020
26246,1748,19-MAR-19,74266,6.99,1,WEST   ,11,2019
15032,4506,16-DEC-18,6785358,11.99,1,SOUTH  ,50,2018
69961,986,16-MAR-20,5216752,5.0,4,EAST   ,11,2020
33737,2573,19-MAY-19,6741955,4.69,1,WEST   ,20,2019
20015,3889,26-JAN-19,5465881,1.49,1,SOUTH  ,3,2019
59354,3940,16-DEC-19,1091378,4.0,1,EAST   ,50,2019
38261,986,25-JUN-19,4288940,2.79,1,EAST   ,25,2019
80927,3840,03-JUL-20,452939,2.18,3,EAST   ,26,2020
64549,4594,31-JAN-20,937223,2.89,1,WEST   ,4,2020
669,3889,22-AUG-18,2198861,7.5,3,SOUTH  ,33,2018
71318,3319,29-MAR-20,81228,5.49,1,EAST   ,13,2020
41333,3904,20-JUL-19,141922,2.29,1,EAST   ,28,2019
49228,3163,24-SEP-19,7226167,2.29,1,SOUTH  ,38,2019
5761,3314,03-OCT-18,5215080,10.74,2,SOUTH  ,39,2018
26343,3969,20-MAR-19,6778056,2.99,1,SOUTH  ,11,2019
42373,3220,29-JUL-19,783993,5.49,1,SOUTH  ,30,2019
77144,815,27-MAY-20,101657,2.59,1,CENTRAL,21,2020
63257,1770,19-JAN-20,94790,1.69,1,CENTRAL,3,2020
51394,1836,12-OCT-19,88715,0.99,1,SOUTH  ,40,2019
68421,4420,04-MAR-20,5651573,2.5,1,EAST   ,9,2020
64562,1567,31-JAN-20,97650,4.76,2,WEST   ,4,2020
21408,2572,06-FEB-19,99261,1.07,1,WEST   ,5,2019
18755,1270,15-JAN-19,100521,2.69,1,CENTRAL,2,2019
70958,54,25-MAR-20,1150128,5.98,2,EAST   ,12,2020
74049,1251,27-APR-20,7592,0.91,1,EAST   ,17,2020
16333,4719,26-DEC-18,92796,1.25,1,CENTRAL,51,2018
62385,3151,10-JAN-20,6942575,4.68,1,CENTRAL,1,2020
4126,1251,20-SEP-18,5052320,7.0,2,EAST   ,37,2018
82384,1290,17-JUL-20,6903151,4.07,1,CENTRAL,28,2020
34343,151,23-MAY-19,2534709,1.98,2,EAST   ,20,2019
36838,3044,13-JUN-19,4945895,3.98,2,EAST   ,23,2019
79704,2507,21-JUN-20,75307,2.99,1,WEST   ,25,2020
76152,525,18-MAY-20,524757,2.79,1,CENTRAL,20,2020
24537,1809,04-MAR-19,5184813,1.0,1,SOUTH  ,9,2019
1075,2512,26-AUG-18,6715542,6.99,3,WEST   ,34,2018
43659,525,08-AUG-19,5218638,1.99,1,CENTRAL,31,2019
